key,zh-cn,zh-tw,en,ja
agent.app_type_desc,工作流是一系列可执行指令的集合，用于实现业务逻辑或完成特定任务。,工作流是一系列可執行指令的集合，用於實現業務邏輯或完成特定任務。,Workflow is a collection of executable instructions for implementing business logic or completing specific tasks.,ワークフローは、ビジネスロジックを実装したり、特定のタスクを完了したりするための一連の実行可能命令です。
agent.chat_type_desc,用户与大模型进行对话，由一个大模型自主思考决策，适用于较为简单的业务逻辑。,用戶與大模型進行對話，由一個大模型自主思考決策，適用於較為簡單的業務邏輯。,Users have conversations with large models, which think and make decisions autonomously, suitable for relatively simple business logic.,ユーザーは大規模モデルと対話し、モデルが自律的に思考・決定を行います。比較的単純なビジネスロジックに適しています。
agent.tip,提示,提示,Tip,ヒント
agent.bot_id,Bot ID,Bot ID,Bot ID,Bot ID
agent.secret,Secret,Secret,Secret,Secret
agent.ws_url,WS Url,WS Url,WS Url,WS Url
agent_app.openclaw,Openclaw,Openclaw,Openclaw,Openclaw
agent.step1_install_plugin,1. 安装插件：复制以下指令到命令行执行,1. 安裝插件：複製以下指令到命令行執行,1. Install plugin: Copy the following command and run it in the command line,1. プラグインをインストール：以下のコマンドをコマンドラインで実行
agent.step2_config_secret,2.配置密钥：复制以下配置信息供插件连接使用,2.配置密鑰：複製以下配置信息供插件連接使用,2. Configure secret: Copy the following configuration for the plugin connection,2. シークレットを設定：以下の設定情報をプラグイン接続に使用します
agent.step3_restart_service,2. 重启本地OpenClaw服务,2. 重啟本地OpenClaw服務,2. Restart local OpenClaw service,2. ローカルOpenClawサービスを再起動
agent.bot_id_tooltip,智能体唯一标识符，由平台分配。在连接 WebSocket 或调用 API 时需携带此 ID 以识别身份,智能體唯一標識符，由平台分配。在連接 WebSocket 或調用 API 時需攜帶此 ID 以識別身份,Unique identifier for the agent, assigned by the platform. Required when connecting to WebSocket or calling API,エージェントの一意識別子。プラットフォームによって割り当てられます。WebSocket接続やAPI呼び出し時にこのIDを携帯して身元を識別する必要があります
agent.secret_tooltip,与 Bot ID 配对的密钥，用于签名验证和身份认证,與 Bot ID 配對的密鑰，用於簽名驗證和身份認證,Secret key paired with Bot ID for signature verification and authentication,Bot IDとペアになるシークレットキー。署名検証と認証に使用
agent.ws_url_tooltip,WebSocket 服务端地址，用于客户端与 OpenClaw 平台建立实时通信通道,WebSocket 服務端地址，用於客戶端與 OpenClaw 平台建立實時通信通道,WebSocket server address for establishing real-time communication channel between client and OpenClaw platform,WebSocketサーバーアドレス。クライアントとOpenClawプラットフォーム間のリアルタイム通信チャンネルを確立するために使用
agent_app.qclaw,QClaw,QClaw,QClaw,QClaw
agent_app.codex,Codex,Codex,Codex,Codex
agent_app.manus,Manus,Manus,Manus,Manus
agent.ai_generated_tip,内容由AI生成，无法确保真实准确，仅供参考,內容由AI生成，無法確保真實準確，僅供參考,Content generated by AI, accuracy not guaranteed, for reference only,コンテンツはAIによって生成されており、正確性を保証することはできません。参考用です。
authority.agent_not_permission,无权限使用此功能，请联系管理员,無權限使用此功能，請聯繫管理員,"You do not have permission to use this function, please contact the administrator directly",このエージェントを使用する権限がありません、管理者に直接連絡してください
authority.group_not_permission,您所在的分组无权限,您所在的分組無權限,You do not have permission to access this group,あなたが所属するグループにはアクセス権限がありません
authority.internal_not_permission,您不是内部用户，请联系管理员,您不是內部用戶，請聯繫管理員,"You are not an internal user, please contact the administrator directly",あなたは内部ユーザーではありません、管理者に直接連絡してください
authority.knowledge_not_permission,知识库问答仅内部用户可使用，请联系管理员,知識庫問答僅內部用戶可使用，請聯繫管理員,"Knowledge Base Q&A is only available to internal users, please contact the administrator directly",知識ベースQ&Aは内部ユーザーのみ使用できます、管理者に直接連絡してください
authority.login_not_permission,请先登录,請先登入,Please login first,まずログインしてください
authority.payment_not_setting,站点未配置收费方式，请直接联系管理员,站點未配置收費方式，請直接聯繫管理員,"The site has not configured payment methods, please contact the administrator directly",サイトが支払い方法を設定していません、管理者に直接連絡してください
authority.use_range,使用范围,使用范围,Use Range,使用范围
browser.alwaysOnTop,窗口置顶,視窗置頂,Always On Top,ウィンドウを常に前面に表示
browser.centerWindow,居中大窗,居中大窗,Center Large Window,中央大窓
browser.knowledge_clean,知识清洗,知識清洗,Knowledge Cleaning,ナレッジクリーニング
browser.leftWindow,左侧小窗,左側小窗,Left Small Window,左側小窓
browser.load_error,加载失败,載入失敗,Loading Failed,読み込みに失敗しました
browser.login,立即登录,立即登入,Login Now,今すぐログイン
browser.newTab,新标签页,新標籤頁,New Tab,新しいタブ
browser.not_logged_in,未登录,未登入,Not Logged In,ログインしていません
browser.reload,重新加载,重新載入,Reload,再読み込み
browser.rightWindow,右侧小窗,右側小窗,Right Small Window,右側小窓
browser.search_placeholder,在百度AI中搜索，或者输入一个网址,在百度AI中搜索，或者輸入一個網址,"Search in Baidu AI, or enter a URL",Baidu AIで検索、またはURLを入力
browser.window_position,窗口位置,視窗位置,Window Position,ウィンドウ位置
chat.collapse_side_bar,收起侧边栏,收起側邊欄,Collapse Sidebar,サイドバーを折りたたむ
chat.completion_completed,已完成深度思考,已完成深度思考,Deep thinking completed,深層思考が完了しました
chat.completion_empty_desc,采用AI大模型智能生成内容，输入需求即可一键成文，快去试试吧,採用AI大模型智能生成內容，輸入需求即可一鍵成文，快去試試吧,"Using AI large model to intelligently generate content, just input your requirements for one-click content creation",AI大規模モデルによるインテリジェントコンテンツ生成。要件を入力するだけでワンクリックで文章が作成できます
chat.completion_generating,内容生成中，请稍候...,內容生成中，請稍候...,"Content generating, please wait...",コンテンツ生成中、お待ちください...
chat.completion_next_action,关联场景：下一步操作,關聯場景：下一步操作,Related Scenarios: Next Action,関連シナリオ：次のアクション
chat.completion_rendering,内容渲染中...,內容渲染中...,Content rendering...,コンテンツレンダリング中...
chat.completion_scene,关联场景：,關聯場景：,Related Scenes:,関連シーン：
chat.completion_share_link,对话链接已复制，快去分享吧~,對話鏈接已複製，快去分享吧~,"Conversation link copied, share now~",対話リンクがコピーされました、すぐに共有してください~
chat.completion_thinking,深度思考中...,深度思考中...,Deep thinking...,深度思考中...
chat.conversation_confirm_delete,删除后，聊天记录将不可恢复。,刪除後，聊天記錄將不可恢復。,"After deletion, chat history cannot be recovered.",削除すると、チャット履歴は復元できません。
chat.delete_conversation,删除对话,刪除對話,Delete conversation,会話を削除
chat.dislike,取消点赞,取消點讚,Unlike,いいねを取り消す
chat.dislike_feedback,你觉得什么让你不满意？,你覺得什麼讓你不滿意？,What do you find unsatisfactory?,どの点が不満でしたか？
chat.edit_conversation,编辑对话名称,編輯對話名稱,Edit Conversation Name,会話名を編集
chat.expand_side_bar,展开侧边栏,展開側邊欄,Expand Sidebar,サイドバーを展開
chat.form_required_add,请添加{label},請添加{label},Please add {label},{label}を追加してください
chat.history,历史会话,對話記錄,Conversation History,会話履歴
chat.history_conversation,历史会话,歷史會話,Conversation History,会話履歴
chat.input,输入,輸入,Input,入力
chat.input_placeholder,发送消息,發送訊息,Send a message,メッセージを送信
chat.like,点赞,點讚,Like,いいね
chat.like_feedback,你觉得什么让你满意？,你覺得什麼讓你滿意？,What do you find satisfactory? ,どの点が満足でしたか？
chat.new_conversation,新对话,新對話,New Conversation,新しい会話
chat.new_chat,新会话,新會話,New Chat,新しいチャット
chat.no_available_agent,暂无可用的智能体,暫無可用的智能體,No available agents,利用可能なエージェントがありません
chat.no_available_agent_desc,很遗憾，你要访问的智能体已不存在，去看看其他有趣的智能体吧～,很遺憾，你要訪問的智能體已不存在，去看看其他有趣的智能體吧～,The agent you are trying to access no longer exists. Discover other agents.,アクセスしようとしたエージェントは存在しません。他のエージェントをご利用ください。
chat.no_model_config,暂无模型，请前往后台配置,暫無模型，請前往後台配置,"No model available, please configure in admin",モデルがありません。管理画面で設定してください
chat.not_found_url,无法找到URL，请检查智能体是否设置正确,無法找到 URL，請檢查智能體是否設定正確,"URL not found, please check if the agent is set correctly",URL が見つかりません。エージェントの設定を確認してください
chat.online_search,联网搜索,聯網搜索,Online Search,オンライン検索
chat.knowledge_graph,知识图谱,知識圖譜,Knowledge Graph,ナレッジグラフ
chat.select_from_library,从知识库中选择,從知識庫中選擇,Select from Library,ナレッジベースから選択
chat.output,输出,輸出,Output,出力
chat.regenerate,重新生成,重新生成,Regenerate,再生成
chat.satisfied,满意,滿意,Satisfied,満足
chat.search_placholder,搜索智能体,搜索智能體,Search agents,エージェントとチャットを検索
chat.select_model,请选择模型,請選擇模型,Select model,モデルを選択
chat.start_generate,开始生成,開始生成,Start Generating,生成開始
chat.submit_success,感谢你帮助我们变得更好。,感謝你幫助我們變得更好。,Thank you for helping us become better.,私たちがより良くなるようお助けいただき、ありがとうございます。
chat.unsatisfied,不满意,不滿意,Unsatisfied,不満
chat.deep_thinking,深度思考,深度思考,Deep Thinking,深層思考
chat.fast_response,快速回答,快速回答,Quick Response,迅速な回答
chat.usage_case,使用案例,使用案例,Use Cases,使用例
chat.usage_guide,使用指引,使用指引,Usage Guide,使用ガイド
chat.usage_scene,使用场景,使用場景,Usage Scenarios,使用シーン
chat.usage_channel,使用渠道,使用渠道,Usage Channel,使用チャンネル
chat.web_search,联网搜索,聯網搜索,Web Search,ウェブ検索
chat.workflow_error,工作流错误,工作流錯誤,Workflow error,ワークフローエラー
chunk.default_index,默认索引,預設索引,Default Index,デフォルトインデックス
chunk.delete_confirm,确定删除该语料片段吗？删除后无法恢复,確定刪除該語料片段嗎？刪除後無法恢復,Are you sure you want to delete this chunk? It cannot be recovered after deletion,このチャンクを削除してもよろしいですか？削除後は復元できません
chunk.hit_count,索引块命中数,索引塊命中數,Retrieval Block Hit Count,索引ブロックヒット数
chunk.knowledge,知识块,知識塊,Knowledge,知識塊
chunk.question,常见问法,常見問法,Question,よくある質問
chunk.reindex,重新索引,重新索引,Reindex,再インデックス
chunk.reindex_confirm,更新了 {count} 个语料片段，是否同步更新检索块？,更新了 {count} 個語料片段，是否同步更新檢索塊？,"Update {count} chunks, do you want to update the retrieval chunk?",更新した{count}個のチャンクを再インデックスしますか？
chunk.reindex_split,重新拆分并索引,重新拆分並索引,Reindex and Split,再インデックスと分割
chunk.reindex_type,更新方式,更新方式,Update Type,更新方式
chunk.reindex_type_all,重新拆分并更新索引,重新拆分並更新索引,Reindex and Update Index,再インデックスとインデックス更新
chunk.reindex_type_part,仅更新检索,仅更新檢索,Update Retrieval,インデックス更新
chunk.related_knowledge,关联知识,關聯知識,Related Knowledge,関連知識
chunk.retrieval,检索块,檢索塊,Retrieval,検索ブロック
chunk.slice_count,知识切片数,知識切片數,Knowledge Slice Count,知識スライス数
chunk.no_task_info,暂无任务信息,暫無任務信息,No task info,タスク情報なし
chunk.summary,内容概要,內容概要,Summary,内容概要
chunk.enable_confirm,确定启用吗？,確定啟用嗎？,Are you sure you want to enable this chunks?,このチャンクを有効にしますか？
chunk.disable_confirm,确定停用吗？,確定停用嗎？,Are you sure you want to disable this chunks?,このチャンクを無効にしますか？
clean.content,内容抽取,內容抽取,Content Extraction,コンテンツ抽出
clean.knowledge,知识整理,知識整理,Knowledge Organization,ナレッジ整理
clean.rule,清洗规则,清洗規則,Cleaning Rule,クリーニングルール
clean.summarize,知识萃取,知識萃取,Knowledge Extraction,ナレッジ抽出
common.active,动态,動態,Activity,動的
common.ai_generated,内容由AI生成，仅供参考,內容由AI生成，僅供參考,"Content generated by AI,仅供参考",内容由AI生成，仅供参考
common.all,全部,全部,All,すべて
common.allow_to,"已复制提示词内容，访问""{name}""站点","已複製提示詞內容，訪問""{name}""站點","Copied prompt content. Visit ""{name}"" site","プロンプトをコピーしました。""{name}""サイトにアクセスしますか"
common.attach,附件,附件,Attachment,添付ファイル
common.back,返回,返回,Back,戻る
common.back_home,返回站点首页,返回站點首頁,Return to site homepage,返回站点首页
common.catalog,目录,目錄,Catalog,目次
common.code,代码,代碼,Code,コード
common.collapse_more,收起更多,收起更多,Collapse More,もっと見る
common.common_document,通用文档,通用文檔,General Document,一般的なドキュメント
common.confirm_delete,确定删除该项？,確定刪除該項？,Are you sure you want to delete this item?,このアイテムを削除しますか？
common.content,内容,內容,Content,内容
common.copied,已复制,已複製,Copied,コピーしました
common.create_time,创建时间,創建時間,Creation Time,作成日時
common.desc,描述,描述,Description,説明
common.edit_conflict,检测到其他标签页正在编辑此文件，请先保存或关闭其他编辑页面,檢測到其他標籤頁正在編輯此文件，請先保存或關閉其他編輯頁面,"Other tabs are editing this file, please save or close other editing pages",他のタブがこのファイルを編集しています。他の編集ページを保存または閉じてください
common.expand,展开,展開,Expand,展開
common.copy_failed,复制失败,複製失敗,Copy failed,コピー失敗
common.load_file_failed,加载文件失败,載入文件失敗,Load file failed,ファイル読み込み失敗
common.please_select_file,请选择文件,請選擇文件,Please select file,ファイルを選択してください
common.expand_more,展开更多,展開更多,Expand More,もっと見る
common.feature_coming_soon,功能即将上线，敬请期待,功能即將上線，敬請期待,"Feature coming soon, please wait",機能はすぐに登場します。お楽しみに！
common.feature_not_available,{functionName}暂不可用，请联系管理员~~,{functionName}暫不可用，請聯繫管理員~~,"{functionName} is not available, please contact the administrator~~",{functionName}は利用できません。管理者にお問い合わせください~~
common.feature_over_limit,{functionName}数量已达上限，请联系管理员~~,{functionName}數量已達上限，請聯繫管理員~~,"{functionName} has reached the upper limit, please contact the administrator~~",{functionName}の使用量は上限を超えています。管理者にお問い合わせください~~
common.file_name,文件名, 文件名,File name, ファイル名
common.files_name,文件夹名, 資料夾名,Folder name, フォルダ名
common.go_admin,后台管理,去後台,Go to Admin,管理画面に移動
common.help,使用帮助,幫助,Help,ヘルプ
common.help_feedback,帮助与反馈,幫助與反饋,Help & Feedback,ヘルプとフィードバック
common.history,历史版本,歷史版本,Historical Version,履歴バージョン
common.image_cropper,图片裁剪,圖片裁剪,Image Cropper,画像トリミング
common.language,语言,語言,Language,言語
common.later,稍后再说,稍後再說,Later,後で
common.link,链接,連結,Link,リンク
common.load_more,加载更多,載入更多,Load More,もっと読み込む
common.load_new,加载新消息,載入新訊息,Load New Messages,新しいメッセージを読み込む
common.loading,加载中,載入中,Loading,読み込み中
common.merge_chunk,合并,合併,Merge,合併
common.new_friend,新手指引,新手指引,Beginner Guide,初心者ガイド
common.new_tab_page,新标签页,新標籤頁,New Tab Page,新しいタブページ
common.no_data,暂无数据,暫無數據,No Data,データがありません
common.no_description,--,--,--,--
common.or,或,或,Or,または
common.outline,目录,目錄,Outline,目次
common.person,共{count}位成员,共{count}位成員,{count} members in total,合計{count}人のメンバー
common.preview,预览,預覽,Preview,プレビュー
common.recently_edit,最近编辑,最近編輯,Recently Edited,最近の編集
common.recently_file,最近文档,,,
common.recently_updated,最近更新,最近更新,Recently Updated,最近の更新
common.recently_visit,最近访问,最近訪問,Recently Visited,最近のアクセス
common.related_agent,相关智能体,相關智能體,Related Agents,関連エージェント
common.related_prompt,相关提示词,相關提示詞,Related Prompts,関連プロンプト
common.render,渲染,渲染,Render,レンダリング
common.rendering,实时渲染, 即時渲染,Real-time rendering, リアルタイムレンダリング
common.screenshot,截图,截圖,Screenshot,スクリーンショット
common.source,源码模式,源碼模式,Source code,ソースコード
common.split,分屏,分屏,Split Screen,分割画面
common.split_chunk,拆分,拆分,Split,分割
common.string,字符,字符,Character,文字
common.tip,提示,提示,Tip,ヒント
common.title,标题,標題,Title,タイトル
common.try_again,请重试,請重試,Please try again,もう一度お試しください
common.unknown,未知,未知,Unknown,不明
common.unsaved_changes,您有未保存的更改，确定要离开吗？,您有未保存的更改，確定要離開嗎？,"You have unsaved changes, are you sure you want to leave?",未保存の変更があります。離れますか？
common.update_time,更新时间,更新時間,Update Time,更新日時
common.updated_at,更新于,更新於,Updated at,更新日時
common.updated_time,更新时间,更新時間,Updated time,更新日時
common.usual,常用,常用,Frequently Used,よく使う
common.view_more,查看更多,查看更多,View More,もっと見る
el.breadcrumb.label,面包屑,面包屑,Breadcrumb,Breadcrumb
el.carousel.indicator,幻灯片切换至索引 {index},投影片切換至索引 {index},Carousel switch to index {index},Carousel switch to index {index}
el.carousel.leftArrow,上一张幻灯片,上一張投影片,Carousel arrow left,Carousel arrow left
el.carousel.rightArrow,下一张幻灯片,下一張投影片,Carousel arrow right,Carousel arrow right
el.cascader.loading,加载中,載入中,Loading,ロード中
el.cascader.noData,暂无数据,無資料,No data,データなし
el.cascader.noMatch,无匹配数据,無相符資料,No matching data,データなし
el.cascader.placeholder,请选择,請選擇,Select,選択してください
el.colorpicker.alphaLabel,选择透明度的值,選擇透明度的值,pick alpha value,
el.colorpicker.clear,清空,清空,Clear,クリア
el.colorpicker.confirm,确定,確認,OK,OK
el.colorpicker.defaultLabel,颜色选择器,色彩選擇器,color picker,
el.colorpicker.description,当前颜色 {color}，按 Enter 键选择新颜色,目前色彩為 {color}。按一下 Enter 以選擇新色彩。,current color is {color}. press enter to select a new color.,
el.datepicker.cancel,取消,取消,Cancel,キャンセル
el.datepicker.clear,清空,清空,Clear,クリア
el.datepicker.confirm,确定,確認,OK,OK
el.datepicker.dateTablePrompt,使用方向键与 Enter 键可选择日期,使用方向鍵與 Enter 鍵以選擇日期,Use the arrow keys and enter to select the day of the month,
el.datepicker.endDate,结束日期,結束日期,End Date,終了日
