key,zh-cn,zh-tw,en,ja
agent_app.bailian,阿里百炼,阿里百煉,Alibaba Bailian,Alibaba Bailian
agent_app.check_agent_config_tip,请检查智能体配置是否正确,請檢查智能體配置是否正確,Please check if the agent configuration is correct,智能体配置が正しいか確認してください
agent_app.coze_agent,Coze智能体,Coze智能體,Coze Agent,Cozeインテリジェントエージェント
agent_app.coze_agent_cn,扣子编程,扣子编程,Coze,Coze
agent_app.coze_agent_osv,coze studio 开源版,coze studio 开源版,Coze Studio Open Source Version,Coze Studio Open Source Version
agent_app.coze_workflow,Coze工作流,Coze工作流,Coze Workflow,Cozeアプリケーションインテリジェント
agent_app.coze_workflow_cn,扣子编程,扣子编程,Coze,Coze
agent_app.coze_workflow_osv,coze studio 开源版,coze studio 开源版,Coze Studio Open Source Version,Coze Studio Open Source Version
agent_app.dify_agent,Dify,Dify,Dify,Dify
agent_app.dify_workflow,Dify,Dify,Dify,Dify
agent_app.failed_tip,智能体不可用，请检查智能体的接入是否正常，余额是否充足。,智慧體不可用，請檢查智慧體的接入是否正常，餘額是否充足。,The agent is unavailable. Please check if the agent connection is normal and if the balance is sufficient.,エージェントは利用不可です。エージェントの接続状況が正常か、残高が充足しているかを確認してください。
agent_app.fastgpt_agent,FastGPT,FastGPT,FastGPT,FastGPT
agent_app.fastgpt_workflow,FastGPT,FastGPT,FastGPT,FastGPT
agent_app.maxkb_agent,MaxKB,MaxKB,MaxKB,MaxKB
agent_app.n8n_workflow,n8n,n8n,n8n,n8n
agent_app.prompt,Prompt,Prompt,Prompt,Prompt
agent_app.prompt_v2,通过Prompt创建,通過Prompt創建,Create via Prompt,プロンプトで作成
agent_app.tencent,腾讯云智能体开发平台,腾讯云智能体开发平台,Tencent Cloud,Tencent Cloud
agent_app.volcengine,火山方舟,火山方舟,Volcengine,Volcengine
agent_app.yuanqi,腾讯元器,腾讯元器,Tencent Yuanqi,Tencent Yuanqi
agent_channel_type_not_found,渠道类型未找到，请先保存后再进行调试,渠道類型未找到，請先保存後再進行調試,Channel type not found. Please save first and then debug,チャネルタイプが見つからないため、まず保存してから、インテリジェントエージェントを作成してください
agent.bot_id,Bot ID,Bot ID,Bot ID,Bot ID
agent.bot_id_tooltip,智能体唯一标识符，由平台分配。在连接 WebSocket 或调用 API 时需携带此 ID 以识别身份,智能體唯一標識符，由平台分配。在連接 WebSocket 或調用 API 時需攜帶此 ID 以識別身份,Unique identifier for the agent, assigned by the platform. Required when connecting to WebSocket or calling API,エージェントの一意識別子。プラットフォームによって割り当てられます。WebSocket接続やAPI呼び出し時にこのIDを携帯して身元を識別する必要があります
agent.secret,Secret,Secret,Secret,Secret
agent.secret_tooltip,与 Bot ID 配对的密钥，用于签名验证和身份认证,與 Bot ID 配對的密鑰，用於簽名驗證和身份認證,Secret key paired with Bot ID for signature verification and authentication,Bot IDとペアになるシークレットキー。署名検証と認証に使用
agent.ws_url,WS Url,WS Url,WS Url,WS Url
agent.ws_url_tooltip,WebSocket 服务端地址，用于客户端与 OpenClaw 平台建立实时通信通道,WebSocket 服務端地址，用於客戶端與 OpenClaw 平台建立實時通信通道,WebSocket server address for establishing real-time communication channel between client and OpenClaw platform,WebSocketサーバーアドレス。クライアントとOpenClawプラットフォーム間のリアルタイム通信チャンネルを確立するために使用
agent.step1_install_plugin,1.安装插件：复制以下指令发给OpenClaw,1.安裝插件：複製以下指令發給OpenClaw,1. Install plugin: Copy the following command and send to OpenClaw,1. プラグインをインストール：以下のコマンドをコピーしてOpenClawに送信
agent.step2_config_secret,2.配置密钥：复制以下配置信息，将配置信息发给OpenClaw Bot,2.配置密鑰：複製以下配置信息，將配置信息發給OpenClaw Bot,2. Configure secret: Copy the following configuration and send to OpenClaw Bot,2. シークレットを設定：以下の設定情報をコピーしてOpenClaw Botに送信
agent.step3_restart_service,3.重启本地OpenClaw服务,3.重啟本地OpenClaw服務,3. Restart local OpenClaw service,3. ローカルOpenClawサービスを再起動
agent_delete_confirm,确定删除该智能体？,確定刪除該智能體嗎？,Are you sure to delete this agent?,このインテリジェントエージェントを削除してもよろしいですか？
agent_file_parse,文档解析,文檔解析,Document Parsing,ドキュメント解析
agent_image_parse,图片视觉,圖片視覺,Image Vision,画像認識
agent_not_found,请先保存创建智能体,請先保存創建智能體,Please save the created agent first,まずは保存してから、インテリジェントエージェントを作成してください
agent_type,智能体类型,智能體類型,AI Agent Type,インテリジェントエージェントタイプ
agent_type_chat,对话型应用,對話型應用,Dialogue - type Application,会話型アプリケーション
agent_type_chat_v2,对话型,對話型,Dialogue Type,チャットタイプ
agent_type.assistant,助理型,助理型,Assistant Type,アシスタントタイプ
agent_type_completion,workflow型应用,workflow型應用,Workflow Application,ワークフロー型アプリケーション
agent_type_completion_v2,应用型,應用型,Application Type,アプリケーションタイプ
agent_type_workflow,工作流编排对话型应用,工作流編排對話型應用,Workflow Orchestration Dialogue - type Application,ワークフロー編排会話型アプリケーション
alipay,支付宝,支付寶,Alipay,Alipay
alipay_pay,支付宝支付,支付寶支付,Alipay Payment,
alipay_payment.app_guide.step_1,1、复制应用名称下方的数字即是APPID,1、複製應用名稱下方的數字即是APPID,"1、Copy the number below the application name, which is the APPID","1、Login to Alipay Open Platform<a class='text-[#5A6D9E]' href='https://open.alipay.com/module/webApp/' target='_blank'>https://open.alipay.com/module/webApp/</a>Create ""Web/Mobile Application"" to get APPID;
2、Click to enter the application, configure according to the official guide of Alipay in ""Development Settings"" ""Signature Method"" to get application private key and Alipay public key;
3、In ""Development Settings"" ""Authorization Callback Address"", fill in: <span class=""text-[#586D9A]"">{callback_url}</span><span class='copy-hook'></span>
4、In [API Management], access the ability of ""Computer Website Payment"" according to the official guide of Alipay to configure or open;"
alipay_payment.app_guide.title,如何获取APPID,如何獲取APPID,How to get APPID,How to get APPID
all,全部,全部,All,全て
all_group,全部分组,全部分組,All Groups,全てのグループ
all_order,全部订单,全部訂單,All Orders,全ての注文
all_order_payment,全部支付,全部支付,All Payments,全ての支払い方式
all_type,全部类型,全部類型,All Types,すべてのタイプ
ap_host_fastgpt,API 根地址,API 根地址,API Root Address,APIルートアドレス
api_appid,应用ID,應用ID,App ID,App ID
api_botid,智能体ID,Bot ID,Agent ID,Bot ID
api_botid_en,Bot ID,Bot ID,Bot ID,Bot ID
api_host,后端服务API,後端服務API,Backend Service API,後端サービスAPI
api_key,API Key,API Key,API Key,API Key
api_screet,API密钥,API密鑰,API Secret Key,APIシークレットキー
app_builder,百度千帆AppBuilder,千帆AppBuilder,Qianfan AppBuilder,百度千帆AppBuilder
app_config,应用配置,應用配置,App Config,アプリケーション設定
app_delete_confirm,确定删除该应用？,確定刪除該應用嗎？,Are you sure to delete this app?,このアプリケーションを削除してもよろしいですか？
app_type,应用类型,應用類型,Application Type,应用类型
apply.contact_customer_service,遇到问题？联系客服解答,遇到問題？聯繫客服解答,meet problems? Contact Customer Service,問題がありますか？カスタマーサービスにお問い合わせください
apply.contact_customer_service_v2,联系客服,聯絡客服,Contact Customer Service,カスタマーサポートへ連絡
apply.create_site,创建站点,創建站點,Create Site,サイトを作成
apply.create_success,创建成功,創建成功,Created successfully,作成成功
apply.create_title,欢迎开通53AI {project},歡迎開通 53AI {project},Welcome to activate 53AI {project},53AI {project} の开通を歓迎します
apply.domain,域名,域名,Domain Name,ドメイン名
apply.domain_already_use,{domain} 已被使用，试试其他域名吧~,{domain} 已被使用，試試其他域名吧～,{domain} is already in use. Please try another domain~,{domain} はすでに使用されています。他のドメインを試してみてください～
apply.domain_placeholder,请输入你的域名,請輸入你的域名,Please enter your domain name,あなたのドメイン名を入力してください
apply.enterprise_name_placeholder,请输入企业/组织名称,請輸入企業 / 組織名稱,Please enter the enterprise/organization name,企業 / 組織名を入力してください
apply.enterprise_not_empty,企业/组织名称不能为空,企業 / 組織名稱不能為空,The enterprise/organization name cannot be empty,企業 / 組織名は空にできません
apply.expired,已过期,已過期,Expired,期限切れ
apply.expired_time_forever,永久生效,永久生效,Permanently valid,永久有効
apply.mobile_unregistered_tip,该手机号未注册，输入验证码及登录密码完成企业创建,該手機號未註冊，輸入驗證碼及登錄密碼完成企業建立,This mobile number is unregistered. Enter the verification code and login password to complete enterprise creation.,この電話番号は未登録です。認証コードとログインパスワードを入力し、企業作成を完了してください。
apply.process,审核中,審核中,Processing,処理中
apply.refresh_list,刷新列表,刷新列表,Refresh List,リストを更新
apply.reject,已拒绝,已拒绝,Rejected,拒否
apply.waiting_audit,等待审核,等待審核,Waiting for review,審査中
apply_open,申请开通,申請開通,Apply for Activation,申請開通
apply_success,申请成功,申請成功,Application Successful,申請成功
apply_success_desc,我们会在24小时内完成审核，你也可以扫码添加专属客服了解进度,請等待管理員審核，審核通過後即可使用,We will complete the review within 24 hours. You can also scan the code to add a dedicated customer service to know the progress,管理者が審査を行い、承認された後に使用できるようになります
auth_required,{provider_name}未授权，请先前往{provider_name}授权,{provider_name}未授權，請先前往{provider_name}授權,"{provider_name} is not authorized, please go to {provider_name} to authorize",{provider_name}未授權，請先前往{provider_name}授權
authorized_at,授权于,授權於,Authorized at,認証日時
avatar,头像,頭像,Avatar,アバター
azure_open_ai,Azure OpenAI,Azure OpenAI,Azure OpenAI,Azure OpenAI
bailian,阿里百炼,阿里百炼,Alibaba Bailian,Alibaba Bailian
bailian_agent_get_tip,"前往阿里百炼并登录（{ url }）
第一步：登录阿里百炼，去到应用 - 应用管理页。
第二步：选择一个应用，复制应用卡片中的“应用ID”粘贴到下面表单。
第三步：点应用卡片下的发布，获取API-KEY，复制粘贴到下面表单。","前往阿里百炼并登录（{ url }）
第一步，登录阿里百炼，去到应用 - 应用管理页。
第二步：选择一个应用，复制应用卡片中的“应用ID”粘贴到下面表单。
第三步：点应用卡片下的发布，获取API-KEY，复制粘贴到下面表单。","Go to Alibaba Bailian and login ({ url })
 Step 1: Login Alibaba Bailian and go to the Application - Application Management page.
 Step 2:  Select an application, copy the 'Application ID' in the application card and paste it into the form below.
 Step3: Click Publish under the application card to obtain the API - KEY, copy and paste it into the form below.","Alibaba Bailianにログイン（{ url }）
 ステップ1：Alibaba Bailianにログインし、アプリケーションを選択（または作成）し、""公開""をクリックし、API-KEYを取得し、以下に入力してください。
 ステップ2：Alibaba Bailianの現在のURLからassistant/の後の部分をコピーし、以下に入力してください。
 付帯ヘルプ：APP IDとWorkspace IDの取得方法（{ help_url }）"
banner.interval,图片轮播间隔,圖片輪播間隔,Image Carousel Interval,画像輪播間隔
banner.interval_tip,当Banner区存在多张图片时，设定图片滚动时间间隔,當Banner區存在多張圖片時，設定圖片滾動時間間隔,"When there are multiple images in the Banner area, set the image scrolling interval",バナー領域に複数の画像が存在する場合、画像スクロール時間間隔を設定します
banner.upload_image,上传图片,上傳圖片,Upload Image,画像をアップロード
banner.upload_image_tip,上传 1920×380 的像素图片效果最佳，图片大小小于 10 MB,上傳 1920×380 的像素圖片效果最佳，圖片大小小於 10 MB,"Upload 1920×380 pixel images for the best effect, image size less than 10 MB",1920×380 のピクセル画像が最適で、画像サイズは 10 MB 未満です
base_setting,欢迎语,欢迎语,Welcome Message,欢迎语
basic_info,基本信息,基礎信息,Basic Information,基本情報
bind_account,已绑定的账户,已綁定的賬戶,Bound Account,バインドアカウント
chat.empty_desc,在输入框中填写内容调试吧~,在輸入框中填寫內容調試吧~,Fill in the content in the input box to debug,入力ボックスに内容を入力してデバッグしてください
chat_glm,智谱AI,智譜AI,ChatGLM,ChatGLM
cleaning_policy.add_condition,添加,添加,Add,追加
cleaning_policy.add_rule,添加规则,添加規則,Add Rule,ルールを追加
cleaning_policy.and,且,且,And,かつ
cleaning_policy.condition_required,请输入条件,請輸入條件,Enter condition,条件を入力してください
cleaning_policy.delete_confirm,确定要删除清洗策略「{name}」吗？,確定要刪除清洗策略「{name}」嗎？,"Delete cleaning rule ""{name}""?",クリーニングルール「{name}」を削除しますか？
cleaning_policy.description,文档将按以下顺序进行清洗，可以拖动以调整优先级,文檔將按以下順序進行清洗，可拖動以調整優先級,Documents will be cleaned in the following order; drag to adjust priority,ドキュメントは以下の順序でクリーニングされます。ドラッグで優先度を変更できます
cleaning_policy.edit_fallback_rule,编辑兜底规则,編輯兜底規則,Edit Fallback Rule,フォールバックルールを編集
cleaning_policy.fallback_execute,兜底执行,兜底執行,Fallback,フォールバック実行
cleaning_policy.fallback_strategy,兜底策略,兜底策略,Fallback Strategy,フォールバック戦略
cleaning_policy.field_extension,后缀名,後綴名,Extension,拡張子
cleaning_policy.field_filename,文件名,文件名,Filename,ファイル名
cleaning_policy.field_foldername,文件夹名,文件夾名,Folder name,フォルダ名
cleaning_policy.field_space_name,知识库名,知識庫名,Space name,スペース名
cleaning_policy.general_parse,通用解析,通用解析,General Parse,汎用解析
cleaning_policy.max_conditions_tip,最多可设置5个条件,最多可設置5個條件,Up to 5 conditions,最大5つの条件
cleaning_policy.operator_contains,包含,包含,Contains,を含む
cleaning_policy.operator_ends_with,结尾是,結尾是,Ends with,で終わる
cleaning_policy.operator_eq,等于,等於,Equals,等しい
cleaning_policy.operator_in,属于,屬於,In,に含まれる
cleaning_policy.operator_starts_with,开头是,開頭是,Starts with,で始まる
cleaning_policy.or,或,或,Or,または
cleaning_policy.other_all_files,其它所有文件,其它所有文件,All other files,その他すべてのファイル
cleaning_policy.pipeline_required,请选择执行的数据管线,請選擇執行的數據管線,Select a data pipeline,データパイプラインを選択してください
cleaning_policy.placeholder_extension,请输入后缀名，例如：pdf,請輸入後綴名，例如：pdf,e.g. pdf,例：pdf
cleaning_policy.placeholder_filename,请输入文件名，例如：知识库,請輸入文件名，例如：知識庫,e.g. Knowledge,例：知識庫
cleaning_policy.placeholder_foldername,请输入文件夹名，例如：知识库,請輸入文件夾名，例如：知識庫,e.g. Knowledge,例：知識庫
cleaning_policy.placeholder_space_name,请输入知识库名，例如：知识库,請輸入知識庫名，例如：知識庫,e.g. Knowledge,例：知識庫
cleaning_policy.rule_name,规则名称,規則名稱,Rule Name,ルール名
cleaning_policy.rule_name_duplicate,规则名称已存在，请使用其他名称,規則名稱已存在，請使用其他名稱,"Rule name already exists, use another",ルール名が既に存在します。別の名前を使用してください
cleaning_policy.rule_name_placeholder,请输入规则名称,請輸入規則名稱,Enter rule name,ルール名を入力
cleaning_policy.rule_name_required,请输入规则名称,請輸入規則名稱,Enter rule name,ルール名を入力してください
cleaning_policy.select_pipeline_placeholder,请选择执行的数据管线,請選擇執行的數據管線,Select data pipeline,データパイプラインを選択
